Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-paris-vinhomes-ocean-park/ban-2n2wc-2-ban-cong-gia-tot-ck-cao-nhat-tt-gian-2-nam-chi-2-5-pr3-vin-1-pr42980025,"Dự án The Paris - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội","3,75 tỷ",66 m²,2 phòng,2 phòng,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-chuyen-nhuong-vinmes-1-studio-1n-2n-3pn-tot-nhat-2025-pr43143980,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","4,13 tỷ",74 m²,2 phòng,2 phòng,Đông - Bắc,Tây - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-imperia-sola-park/quy-299-doc-quyen-gia-tot-nhat-du-an-vinmes-smart-city-thanh-phat-land-pr43137084,"Imperia Sola Park, Tây Mỗ, Nam Từ Liêm, Hà Nội","3,45 tỷ",55 m²,2 phòng,2 phòng,Tây,Đông - Bắc,Hợp đồng mua bán,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-hoang-dao-thuy-phuong-trung-hoa-4-prj-khu-do-thi-trung-hoa-nhan-chinh/ban-146m2-toa-34t-ang-chi-8-99-ty-lh-nam-pr43092954,"Dự án Trung Hòa Nhân Chính, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Cầu Giấy, Hà Nội","8,99 tỷ",146 m²,3 phòng,2 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-giang-bien-1-prj-ruby-city/ban-ct1-57-3m2-2pn-2wc-gia-2-ty-940-bao-phi-pr43118476,"Dự án Ruby City, Phường Giang Biên, Long Biên, Hà Nội","2,94 tỷ","57,3 m²",2 phòng,2 phòng,Tây - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-seasons-avenue/toi-chinh-chu-ban-116m2-tang-trung-toa-s2-lh-toi-pr43143474,"Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội","8,1 tỷ","111,4 m²",3 phòng,2 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-dat-duong-pho-yen-xa-tien-phong-8/sieu-pham-ng-me-linh-ha-noi-gia-trong-dan-pr43091028,"Đường Phố Yên, Xã Tiền Phong, Mê Linh, Hà Nội",54 triệu/m²,"72,5 m²",,,Đông - Nam,,Sổ đỏ/ Sổ hồng,,"4,3 m","4,5 m",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-5b-xa-da-ton-prj-masteri-waterfront/re-va-dep-nhat-thi-truong-chinh-chu-ban-2n2w-tai-vinmes-oceanpark-gia-lam-ha-noi-pr42547923,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội","3,25 tỷ","63,3 m²",2 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-yen-hoa-phuong-yen-hoa-2/ban-cau-giay-5-tang-cuc-dep-mt-4-95m-30-5m-ngo-nong-dan-tri-cao-pr42479376,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội","7,6 tỷ","30,5 m²",3 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,95 m",3 m,5 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-miami/chinh-chu-ban-gap-dep-2pn-2wc-tai-phan-khu-gs-3-8-ty-63-7m2-tai-smart-city-mo-pr43098417,"Dự án The Miami, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,1 tỷ","63,7 m²",2 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-yen-hoa-phuong-yen-hoa-2/chinh-chu-ban-cau-giay-vi-tri-mat-ngo-gan-oto-xay-moi-5-tang-31m-mt-5m-pr42317978,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội","7,6 tỷ","30,5 m²",3 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 m,3 m,5 tầng
https://batdongsan.com.vn/ban-dat-xa-tien-duong/199-can-ban-gap-manh-sieu-hoi-gia-cuc-hap-dan-dt99m2-chi-hon-60trieu-m2-co-pr42781281,"Thôn Cổ Dương, Xã Tiên Dương, Đông Anh, Hà Nội","6,1 tỷ",99 m²,,,,,Sổ đỏ/ Sổ hồng,,5 m,4 m,
https://batdongsan.com.vn/ban-nha-rieng-duong-doi-can-phuong-doi-can/chinh-chu-ban-ngo-90-32m-4-tang-4-38-ty-ba-dinh-pr43143823,"Ngõ 90, Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội","4,38 tỷ",32 m²,3 phòng,3 phòng,,,Sổ đỏ/ Sổ hồng,,"3,5 m",2 m,4 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ly-thanh-tong-xa-da-ton-prj-the-paris-vinhomes-ocean-park/tiet-kiem-lon-dk-chi-400-trieu-nhan-ngay-chiet-khau-12-tai-du-an-park-pr43016040,"Dự án The Paris - Vinhomes Ocean Park, Đường Lý Thánh Tông, Xã Đa Tốn, Gia Lâm, Hà Nội",Thỏa thuận,65 m²,2 phòng,2 phòng,Đông - Bắc,Tây - Nam,Hợp đồng mua bán,,,,
