Link,Địa chỉ,Mức giá,Diện tích,Pháp lý,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Mặt tiền,Đường vào,Nội thất,Hướng nhà,Hướng ban công
https://batdongsan.com.vn/ban-dat-xa-ba-trai/n-300m2-tai-vi-ha-noi-gia-tot-em-hoang-pr41264803,"Xã Ba Trại, Ba Vì, Hà Nội",Thỏa thuận,300 m²,Sổ đỏ/ Sổ hồng,,,,,,,,
https://batdongsan.com.vn/ban-dat-duong-21-1-xa-phu-cat-1/155m2-truc-chinh-thon-gia-sieu-re-gan-cho-truong-hoc-to-hop-y-te-pr42531721,"Đường 21, Xã Phú Cát, Quốc Oai, Hà Nội",Thỏa thuận,155 m²,Sổ đỏ/ Sổ hồng,,,,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-phuc-loi-phuong-phuc-loi/ban-tai-ngo-321-4-38-ty-30m2-2pn-2wc-3-tang-pr43106233,"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội","4,38 tỷ",30 m²,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,3 tầng,"4,2 m",3 m,Đầy đủ,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/cc-ban-3n-2wc-93-4m2-san-so-full-do-du-an-gia-chi-6-5-ty-lh-ms-ngan-pr43113707,"Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","6,5 tỷ","93,5 m²",Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,,,Đầy đủ,Tây,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thoi-trung-phuong-thach-ban-1/-77m2-x-6t-thang-may-oto-tranh-pho-dong-dinh-pr43085644,"Đường Nguyễn Thời Trung, Phường Thạch Bàn, Long Biên, Hà Nội","19,5 tỷ",77 m²,Sổ đỏ/ Sổ hồng,,,6 tầng,"4,5 m",,,,
https://batdongsan.com.vn/ban-dat-xa-ha-bang/cat-lo-sau-chi-2-67-ty-so-huu-72-3m2-full-tho-tai-hoa-lac-cam-ket-re-nt-thi-truong-pr43143465,"Xã Hạ Bằng, Thạch Thất, Hà Nội",37 triệu/m²,"72,3 m²",Sổ đỏ/ Sổ hồng,,,,"4,2 m",5 m,,,
https://batdongsan.com.vn/ban-dat-duong-da-ton-xa-da-ton/chinh-chu-ban-tai-gia-lam-hn-48m2-gia-1-ty-700-trieu-pr38379666,"Đường Đa Tốn, Xã Đa Tốn, Gia Lâm, Hà Nội","5,6 tỷ",93 m²,Sổ đỏ/ Sổ hồng,,,,"6,2 m",3 m,,Đông - Nam,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-van-phuc-1-prj-tsq-galaxy/chinh-chu-ban-ha-dong-101m2-6-tang-mt-6m-thang-may-truc-chinh-kinh-doanh-sieu-tot-pr43032147,"Dự án TSQ Galaxy, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội",35 tỷ,101 m²,Sổ đỏ/ Sổ hồng,6 phòng,6 phòng,6 tầng,6 m,15 m,Đầy đủ,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-prj-imperia-garden/-gia-that-gia-dinh-ban-2-pn-2-vs-cc-graden-203-80m2-pr42021718,"Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội","5,5 tỷ",80 m²,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,,,Nội thất cao cấp chuẩn hãng Boss của Đức.,Nam,Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-goldseason/sieu-hot-chu-nha-tien-giam-soc-500-trieu-3pn-2vs-goc-du-an-gold-season-so-lau-dai-pr41604004,"GoldSeason, 47, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",7 tỷ,105 m²,Sổ hồng,3 phòng,2 phòng,,,,,Nam,Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-prj-imperia-garden/chu-nha-tien-giam-soc-300tr-3pn-2vs-goc-dep-nhat-cc-graden-pr41641675,"Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội","8,15 tỷ","97,5 m²",Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,,,Đầy đủ Nội thất cao cấp chuẩn hãng BOSS của Đức.,Nam,Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-prj-imperia-garden/chinh-chu-ban-3pn-goc-dt-121m2-tai-graden-bc-dong-nam-tang-16-pr42502421,"Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",10 tỷ,"121,4 m²",Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,,,Đầy đủ,Đông - Nam,Đông - Nam
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-70-2-phuong-dai-mo-prj-louis-city-dai-mo/ban-kdt-le-quang-dao-o-pr40310122,"Dự án Louis City, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",Thỏa thuận,100 m²,"Pháp lý rõ ràng: Sổ đỏ chính chủ, (có thương lượng - miễn trung gian).",4 phòng,4 phòng,5 tầng,5 m,22 m,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-troi-phuong-phuong-liet/sieu-pham-7-tang-thang-may-lo-goc-thanh-xuan-gan-truong-chinh-giai-ng-pr41469956,"Đường Nguyễn Văn Trỗi, Phường Phương Liệt, Thanh Xuân, Hà Nội",35 tỷ,83 m²,Sổ đỏ/ Sổ hồng,7 phòng,6 phòng,7 tầng,"6,1 m",,,Nam,
https://batdongsan.com.vn/ban-dat-duong-le-quang-dao-phuong-duong-noi/ban-phan-lo-via-he-kinh-doanh-o-to-tranh-sat-aeon-mall-dao-pr43004307,"Đường Lê Quang Đạo, Phường Dương Nội, Hà Đông, Hà Nội","13,8 tỷ",50 m²,Sổ đỏ/ Sổ hồng,,,,4 m,12 m,,Bắc,
https://batdongsan.com.vn/ban-dat-pho-trung-kinh-phuong-trung-hoa-4/ban-mat-doi-58-ty-140-m2-mat-tien-9-2m-so-san-giao-dich-ngay-pr43106156,"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",58 tỷ,140 m²,Sổ đỏ/ Sổ hồng,,,,"9,2 m",,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-vuong-thua-vu-phuong-khuong-trung/ga-de-vang-toa-chdv-8-tang-thang-may-full-noi-that-o-to-do-cua-tam-thanh-xuan-pr42637767,"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội","29,8 tỷ",84 m²,Sổ đỏ/ Sổ hồng,20 phòng,20 phòng,7 tầng,8 m,,Đầy đủ,Đông,
