Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Mặt tiền,Đường vào,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-quang-trung-17/ban-gap-via-he-kinh-doanh-sam-uat-55m2-5-tang-gia-16-85-ty-ctl-pr42904840,"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội","14,8 tỷ",55 m²,4 phòng,4 phòng,5 tầng,4 m,20 m,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dinh-cong-phuong-dinh-cong-prj-t-t-tower/ban-120-hoang-mai-60m2-2-ngu-1-vs-full-noi-ha-4-y-400-pr42928777,"T&T Tower, 120, Đường Định Công, Phường Định Công, Hoàng Mai, Hà Nội","4,4 tỷ",60 m²,2 phòng,1 phòng,,,,Sổ đỏ/ Sổ hồng,Tặng lại toàn bộ nội thất 450 triệu.,,
https://batdongsan.com.vn/ban-nha-rieng-duong-huu-hoa-xa-huu-hoa/chinh-chu-ban-nr-32m2-4-55-ty-ngo-thong-oto-do-cua-o-thanh-tri-ha-noi-pr43089970,"Đường Hữu Hòa, Xã Hữu Hòa, Thanh Trì, Hà Nội","4,55 tỷ",32 m²,3 phòng,4 phòng,5 tầng,"3,5 m",3 m,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Nam,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-da-ton-prj-vinhomes-ocean-park-gia-lam/sieu-re-song-lap-san-ho-gan-ho-gan-cong-vien-tai-oceanpark-1-pr43108354,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Đa Tốn, Gia Lâm, Hà Nội","27,5 tỷ",150 m²,,,,10 m,,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/em-ban-toa-s4-2pn-2wc-76-8m2-nha-full-do-moi-100-y-hinh-san-so-lh-ms-ngan-pr43113873,"Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","5,6 tỷ","76,8 m²",3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây,Đông
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vu-pham-ham-phuong-yen-hoa-2-prj-park-view-city/ban-goc-179-6m2-cuc-hiem-e4-4pn-3-mat-tng-toan-h-tp-pr42962968,"Park View City, Số 3, Đường Vũ Phạm Hàm, Phường Yên Hòa, Cầu Giấy, Hà Nội","17,5 tỷ","179,6 m²",4 phòng,4 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-an-duong-vuong-phuong-phu-thuong-1/chinh-chu-toi-b-gap-mp-tay-ho-lo-goc-123m2-5-tg-thg-may-dong-tien-720tr-nam-pr42985547,"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội","34,3 tỷ",123 m²,5 phòng,5 phòng,5 tầng,"6,2 m",11 m,Sổ đỏ/ Sổ hồng,Đầy đủ,Bắc,Bắc
https://batdongsan.com.vn/ban-nha-rieng-duong-tay-son-phuong-thinh-quang/ban-148m2-mat-tien-8m-4-tang-can-goc-3-mat-thoang-cuc-dep-ngo-oto-sdcc-pr42924255,"Đường Tây Sơn, Phường Thịnh Quang, Đống Đa, Hà Nội","18,9 tỷ",98 m²,6 phòng,4 phòng,4 tầng,8 m,3 m,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Bắc,Đông - Bắc
https://batdongsan.com.vn/ban-nha-rieng-duong-yen-lang-phuong-thinh-quang/chinh-chu-ban-7-tang-57m2-mat-tien-10m-can-goc-full-nt-gara-oto-thang-may-sdcc-pr43083515,"Đường Yên Lãng, Phường Thịnh Quang, Đống Đa, Hà Nội","28,5 tỷ","56,7 m²",5 phòng,6 phòng,7 tầng,10 m,3 m,Sổ đỏ/ Sổ hồng,Full,Tây - Nam,Tây - Nam
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-ciputra/ban-can-150m2-re-nhat-bt5a-tay-ho-canh-cong-vien-65ha-ban-giao-ngay-4-tang-ham-da-co-so-pr42893441,"Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội",50 tỷ,150 m²,5 phòng,5 phòng,5 tầng,7 m,"17,5 m",Sổ đỏ/ Sổ hồng,Cơ bản,,Đông - Nam
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vo-chi-cong-phuong-phu-thuong-1-prj-kita-capital-ciputra/ngoai-giao-can-bt-mat-vien-kdt-gd3-cuc-dep-dt-140m2-xay-4-tang-co-ham-htls-0-2-nam-pr42897365,"Kita Capital Ciputra, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội",60 tỷ,140 m²,4 phòng,5 phòng,4 tầng,7 m,"13,5 m",Sổ đỏ/ Sổ hồng,Bàn giao thô hoàn thiện mặt ngoài phong cách Địa Trung Hải độc đáo chưa KĐT nào có.,,Nam
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-ciputra/ban-can-dinh-lo-goc-275m2-tay-ho-mat-tien-31m-co-ham-san-vuon-cuc-rong-so-do-pr43090918,"Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội","114,5 tỷ","275,1 m²",5 phòng,5 phòng,5 tầng,"31,5 m","17,5 m",Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Đông - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-quan-ngua-phuong-lieu-giai/-ba-dinh-dep-phan-lo-hai-mat-ngo-truoc-o-to-tranh-dung-do-pr42879736,"Đường Quần Ngựa, Phường Liễu Giai, Ba Đình, Hà Nội","48,8 tỷ",78 m²,4 phòng,4 phòng,4 tầng,,6 m,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-thi-nham-phuong-quang-trung-17/-sat-cho-bong-do-58m-3-tang-1-buoc-ra-to-tranh-chi-5-68-ty-pr41841442,"Đường Ngô Thì Nhậm, Phường Quang Trung, Hà Đông, Hà Nội","5,68 tỷ",58 m²,3 phòng,3 phòng,3 tầng,4 m,2 m,Sổ đỏ,Cơ bản,,
https://batdongsan.com.vn/ban-nha-rieng-duong-quang-tien-phuong-dai-mo/ban-dan-xay-gara-o-to-kinh-doanh-tot-gan-vin-smart-city-pr43098177,"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",Thỏa thuận,60 m²,,,4 tầng,4 m,"12,5 m",Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-kham-thien/ban-tai-dong-da-ha-noi-gia-cuc-chat-8-ty-38m2-3pn-4wc-pr43098176,"Phường Khâm Thiên, Đống Đa, Hà Nội",8 tỷ,38 m²,3 phòng,4 phòng,5 tầng,"3,6 m","1,5 m",Sổ đỏ/ Sổ hồng,Cơ bản,,
https://batdongsan.com.vn/ban-dat-xa-van-tu/chinh-chu-ban-no-hau-dep-tai-phu-xuyen-lh-pr43097443,"Xã Vân Từ, Phú Xuyên, Hà Nội",36 triệu/m²,"118,5 m²",,,,5 m,6 m,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/ban-man-dong-xuan-tien-xuan-quoc-oai-ha-noi-dt-200m-300m-500m-1000m-1ha-5ha-pr42379409,"Xã Phú Cát, Quốc Oai, Hà Nội",Thỏa thuận,323 m²,,,,,,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-dat-pho-duong-quang-xa-duong-quang-1/ban-lo-dep-tai-binh-tru-gia-lam-gia-chi-2-ty-550-trieu-pr43098169,"Phố Dương Quang, Xã Dương Quang, Gia Lâm, Hà Nội","2,55 tỷ",53 m²,,,,"4,98 m","2,2 m",Sổ đỏ/ Sổ hồng,,Đông - Bắc,
https://batdongsan.com.vn/ban-dat-pho-thuong-cat-phuong-thuong-cat/gia-dinh-can-ban-gap-manh-32m2-gan-cho-ke-ngo-rong-thoang-gia-3-05-ty-pr42944021,"Phố Thượng Cát, Phường Thượng Cát, Bắc Từ Liêm, Hà Nội","3,2 tỷ",32 m²,,,,4 m,"2,5 m",Sổ đỏ/ Sổ hồng,,Đông - Nam,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe-prj-the-pride/ban-ha-dong-ha-noi-gia-t-5-7-ty-96m2-lh-24-24h-pr42789071,"Dự án The Pride, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội","5,7 tỷ",96 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Tây - Nam
https://batdongsan.com.vn/ban-nha-rieng-duong-nghi-tam-phuong-tu-lien/ban-gap-tay-ho-vai-buoc-ra-pho-dau-dinh-dt-66m2-5-m-mat-tien-pr43097909,"đường Nghi Tàm, Phường Tứ Liên, Tây Hồ, Hà Nội","12,6 tỷ",66 m²,4 phòng,2 phòng,4 tầng,5 m,2 m,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thai-phuong-khuong-mai/pho-160m-o-to-tranh-thong-nhieu-nga-mt-8-6m-no-hau-da-dang-muc-41-ty-pr43070315,"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",41 tỷ,160 m²,,,3 tầng,"8,6 m",,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-dinh-prj-n01-t1-ngoai-giao-doan/toi-chinh-chu-ban-o-toa-130m2-3pn-1-gia-chi-n-7-ty-co-slot-oto-pr40469284,"Dự án N01-T1 Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",70 triệu/m²,128 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,Nam
https://batdongsan.com.vn/ban-dat-duong-vai-reo-xa-phu-cat-1/do-nha-co-viec-gap-em-ban-ngay-manh-nay-giam-cho-anh-chi-700-trieu-ban-luon-trong-tuan-nay-pr42766036,"Đường Vai Réo, Xã Phú Cát, Quốc Oai, Hà Nội",24 triệu/m²,100 m²,,,,6 m,8 m,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-dat-duong-phu-cat-xa-phu-cat-1/ban-gap-manh-tra-no-ngan-hang-giam-600-dien-tich-100m2-full-tho-cu-ngay-quoc-lo-21-gan-dai-qg-pr42766007,"Đường Phú Cát, Xã Phú Cát, Quốc Oai, Hà Nội",28 triệu/m²,100 m²,,,,7 m,8 m,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-ngoc-thuy/-dep-dan-xay-chac-chan-mat-tien-rong-m-u-a-dat-tang-chi-voi-6-ty-pr43073234,"Phường Ngọc Thụy, Long Biên, Hà Nội",6 tỷ,41 m²,,,4 tầng,,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-giang-chinh-phuong-bien-giang/cach-cau-mai-linh-800m-ben-xe-yen-nghia5p-di-xe-oto-do-dau-ngo-xay-moi-4t-x-36m-gia-chi-3-45-ty-pr43098156,"Đường Giang Chính, Phường Biên Giang, Hà Đông, Hà Nội","3,45 tỷ",36 m²,2 phòng,3 phòng,4 tầng,,,Sổ đỏ/ Sổ hồng,Nội thất đẹp như hình.,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-pho-van-phuc-phuong-van-phuc-1-prj-tieu-khu-do-thi-moi-van-phuc/ban-via-he-o-to-tranh-kinh-doanh-ha-dong-ha-noi-20-ty-pr42248436,"Dự án Vạn Phúc - Simco Sông Đà, Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",20 tỷ,75 m²,6 phòng,6 phòng,6 tầng,5 m,17 m,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-dat-duong-giang-bien-phuong-giang-bien-1/chinh-chu-ban-lo-dau-gia-tt5-73m2-gan-22m-phuc-loi-pr43002373,"Đường Giang Biên, Phường Giang Biên, Long Biên, Hà Nội","16,6 tỷ",73 m²,,,,5 m,13 m,Sổ đỏ/ Sổ hồng,,Nam,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-seasons-avenue/ban-cc-ha-dong-117m2-view-dep-gia-mem-lh-tu-pr42667047,"Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội","8,7 tỷ",117 m²,3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-quang-trung-phuong-quang-trung-17/-gan-cho-hd-doi-dien-bvien-38m-5-tang-mat-ngo-thong-tu-tung-o-to-chi-hon-6-5-ty-pr42548650,"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",Thỏa thuận,38 m²,3 phòng,4 phòng,5 tầng,"3,5 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,,
https://batdongsan.com.vn/ban-dat-duong-dang-vu-hy-phuong-duc-giang-2/ban-74m-lo-goc-dau-gia-canh-chung-cu-ct9c-viet-hung-khu-dan-cu-yen-tinh-dinh-cu-pr42948443,"Đường Đặng Vũ Hỷ, Phường Đức Giang, Long Biên, Hà Nội",14 tỷ,"73,7 m²",,,,6 m,13 m,Sổ đỏ/ Sổ hồng,,Đông - Nam,
https://batdongsan.com.vn/ban-dat-xa-bac-son-16/e-con-vai-lo-gia-fo-dt-tu-100-m-fun-tc-gia-chi-vai-tram-trieu-nhap-khau-tai-ha-noi-nhe-th-pr43097432,"Xã Bắc Sơn, Sóc Sơn, Hà Nội",850 triệu,100 m²,,,,5 m,4 m,Sổ đỏ/ Sổ hồng,,,
