Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ly-son-phuong-gia-thuy-prj-khai-son-city/can-ban-nh-can-pho-100m2-doi-dien-chung-cu-mt6-2m-lh-pr41271624,"Dự án Khai Sơn City, Đường Lý Sơn, Phường Gia Thụy, Long Biên, Hà Nội",Thỏa thuận,100 m²,6 phòng,6 phòng,6 tầng,Tây - Bắc,Tây - Bắc,"6,2 m",12 m,Sổ đỏ/ Sổ hồng,Không nội thất.
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-yen-nghia-1-prj-xuan-mai-complex/ban-hh2f-73m2-sdcc-view-tang-o-ngay-pr42993619,"Dự án Xuân Mai Complex, Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội","3,55 tỷ","69,7 m²",2 phòng,2 phòng,,Đông - Bắc,Tây - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-trung-van-prj-ecolife-capitol/chinh-chu-ban-goc-3-ngu-capil-gia-6-ty-dt-111m2-day-du-noi-that-pr41204675,"Dự án Ecolife Capitol, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",6 tỷ,111 m²,3 phòng,2 phòng,,Đông - Bắc,Tây - Nam,,,* Pháp lý rõ ràng với Sổ đỏ,"Đầy đủ * Nội thất được trang bị đầy đủ, chỉ việc dọn vào ở ngay mà không cần phải sắm sửa thêm."
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-thach-ban-1-prj-khu-nha-o-thach-ban/-74-6-m2-2-pn-2-wc-gan-aeon-long-bien-tang-cao-thoang-pr42970359,"Dự án Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội","3,7 tỷ","74,7 m²",2 phòng,2 phòng,,,,,,Sổ đỏ/ Sổ hồng,Full nội thất.
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-da-ton-prj-vinhomes-ocean-park-gia-lam/re-nhat-18-ty-ngoc-trai-dao-lon-gan-goc-70-8m2-tay-bac-lam-pr42217191,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Đa Tốn, Gia Lâm, Hà Nội",18 tỷ,"70,8 m²",5 phòng,,4 tầng,Tây - Bắc,,"5,9 m",,Sổ đỏ/ Sổ hồng.,Không nội thất
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-bien-prj-northern-diamond/ban-tai-100m2-co-slot-oto-pr42228541,"Dự án Northern Diamond, Phường Long Biên, Long Biên, Hà Nội","5,6 tỷ","99,4 m²",3 phòng,,,,,,,Sổ đỏ/sổ hồng.,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-cat-lo-2pn-1wc-dien-tich-54-8m2-gia-3-6-ty-tai-vh-city-pr42956035,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","3,6 tỷ","54,8 m²",2 phòng,1 phòng,,,Đông - Nam,,,Sổ đỏ,Full nội thất.
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-bien-prj-northern-diamond/ban-3-pn-107-6-m-full-do-co-slot-oto-pr42970232,"Dự án Northern Diamond, Phường Long Biên, Long Biên, Hà Nội","6,5 tỷ","107,6 m²",3 phòng,,,,,,,Sổ đỏ/ Sổ hồng,Full
https://batdongsan.com.vn/ban-dat-duong-da-ton-xa-da-ton/ban-tang-nha-mat-tran-tien-ich-don-du-an-tiem-nang-tang-gia-manh-pr42861876,"Đường Đa Tốn, Xã Đa Tốn, Gia Lâm, Hà Nội",7 tỷ,70 m²,,,,Tây - Bắc,,"3,4 m","4,5 m",Sổ đỏ/ Sổ hồng.,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-da-ton-prj-vinhomes-ocean-park-gia-lam/duy-nhat-39-ty-bt-song-lap-ngoc-trai-dao-nho-165-5m2-tay-bac-gan-ho-lam-pr42238708,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Đa Tốn, Gia Lâm, Hà Nội",39 tỷ,"165,5 m²",4 phòng,,4 tầng,Tây - Bắc,Tây - Bắc,"9,2 m",13 m,Sổ đỏ/ Sổ hồng.,
