Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Hướng ban công,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Đường vào,Số tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-van-canh-1-prj-moonlight-1-an-lac-green-symphony/ban-3-ngu-truc-09-tang-dep-huong-dep-di-xem-nha-ngay-chot-som-pr42978379,"Dự án Moonlight 1 - An Lạc Green Symphony, Xã Vân Canh, Hoài Đức, Hà Nội",6 tỷ,"95,12 m²",3 phòng,2 phòng,Đông - Nam,Hợp đồng mua bán,Cơ bản,,,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-phuc-loi/ban-dep-doc-lap-2-mat-thoang-oto-do-gan-5-tang-moi-tinh-tien-ich-bao-quanh-pr43073866,"Phường Phúc Lợi, Long Biên, Hà Nội","5,9 tỷ",33 m²,3 phòng,4 phòng,,Sổ đỏ/ Sổ hồng.,,4 m,,,
https://batdongsan.com.vn/ban-dat-xa-bac-son-16/chi-hon-500tr-100m-full-tho-cu-tai-soc-ha-noi-cuc-phu-hop-cho-cac-quy-nha-dau-tu-pr42938414,"Xã Bắc Sơn, Sóc Sơn, Hà Nội",565 triệu,110 m²,,,,Sổ đỏ/ Sổ hồng,,5 m,Tây,6 m,
https://batdongsan.com.vn/ban-dat-xa-trang-viet/ban-trong-de-tai-54-trieu-m2-65m2-ngo-thong-3-5m-phap-ly-day-du-pr43074026,"Xã Tráng Việt, Mê Linh, Hà Nội",54 triệu/m²,65 m²,,,,Sổ đỏ/ Sổ hồng,,"4,5 m",,"3,5 m",
https://batdongsan.com.vn/ban-nha-rieng-duong-quang-trung-phuong-la-khe/ban-gap-6-75-ty-37m2-o-ha-dong-ha-noi-pr43008853,"Đường Quang Trung, Phường La Khê, Hà Đông, Hà Nội","6,75 tỷ",37 m²,6 phòng,4 phòng,,Sổ đỏ/ Sổ hồng,"Nội thất đầy đủ: Điều hòa, tủ lạnh, giường.","3,5 m",Tây,3 m,5 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-thach-ban-1-prj-khu-nha-o-thach-ban/-74-6-m2-2-pn-2-wc-gan-aeon-long-bien-tang-cao-thoang-pr42970359,"Dự án Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội","3,7 tỷ","74,7 m²",2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Full nội thất.,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-da-ton-prj-vinhomes-ocean-park-gia-lam/re-nhat-18-ty-ngoc-trai-dao-lon-gan-goc-70-8m2-tay-bac-lam-pr42217191,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Đa Tốn, Gia Lâm, Hà Nội",18 tỷ,"70,8 m²",5 phòng,,,Sổ đỏ/ Sổ hồng.,Không nội thất,"5,9 m",Tây - Bắc,,4 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-bien-prj-northern-diamond/ban-tai-100m2-co-slot-oto-pr42228541,"Dự án Northern Diamond, Phường Long Biên, Long Biên, Hà Nội","5,6 tỷ","99,4 m²",3 phòng,,,Sổ đỏ/sổ hồng.,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-cat-lo-2pn-1wc-dien-tich-54-8m2-gia-3-6-ty-tai-vh-city-pr42956035,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","3,6 tỷ","54,8 m²",2 phòng,1 phòng,Đông - Nam,Sổ đỏ,Full nội thất.,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-bien-prj-northern-diamond/ban-3-pn-107-6-m-full-do-co-slot-oto-pr42970232,"Dự án Northern Diamond, Phường Long Biên, Long Biên, Hà Nội","6,5 tỷ","107,6 m²",3 phòng,,,Sổ đỏ/ Sổ hồng,Full,,,,
https://batdongsan.com.vn/ban-dat-duong-da-ton-xa-da-ton/ban-tang-nha-mat-tran-tien-ich-don-du-an-tiem-nang-tang-gia-manh-pr42861876,"Đường Đa Tốn, Xã Đa Tốn, Gia Lâm, Hà Nội",7 tỷ,70 m²,,,,Sổ đỏ/ Sổ hồng.,,"3,4 m",Tây - Bắc,"4,5 m",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-da-ton-prj-vinhomes-ocean-park-gia-lam/duy-nhat-39-ty-bt-song-lap-ngoc-trai-dao-nho-165-5m2-tay-bac-gan-ho-lam-pr42238708,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Đa Tốn, Gia Lâm, Hà Nội",39 tỷ,"165,5 m²",4 phòng,,Tây - Bắc,Sổ đỏ/ Sổ hồng.,,"9,2 m",Tây - Bắc,13 m,4 tầng
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/hang-vip-can-shop-goc-noi-khu-so-lau-dai-cho-thue-ngay-duoc-45-tr-chi-8-ty-pr42919432,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","11,8 tỷ",69 m²,1 phòng,1 phòng,Đông - Bắc,Hợp đồng mua bán,Đầy đủ,8 m,Đông - Bắc,10 m,1 tầng
https://batdongsan.com.vn/ban-dat-duong-420-xa-binh-yen-1/ban-lo-tdc-logoc-2mt-oto-tranh-via-he-rong-80m-nhinh-6ty-pr42012185,"Đường 420, Xã Bình Yên, Thạch Thất, Hà Nội","6,8 tỷ",80 m²,,,,Sổ đỏ/ Sổ hồng,,6 m,,15 m,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tay-thang-long-xa-tan-lap-24-prj-noble-palace-tay-thang-long/-garden-gia-300-trieu-m2-pr42490573,"Dự án Noble Palace Tây Thăng Long, Đường Tây Thăng Long, Xã Tân Lập, Đan Phượng, Hà Nội",300 triệu/m²,300 m²,,,,,,12 m,Đông - Bắc,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-my-dinh-2-prj-khu-do-thi-my-dinh-ii/gia-re-ban-nhanh-ch-noi-that-dep-105m2-du-an-ct1a-ham-nghi-nam-tu-liem-tang-trung-dep-pr42965969,"Dự án Mỹ Đình II, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội","6,4 tỷ",105 m²,3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-co-thach-phuong-cau-dien-prj-khu-do-thi-my-dinh-i/toi-ban-gap-a2-85m2-2-ngu-2vs-sua-dep-gia-re-san-so-gd-pr43019636,"Dự án Mỹ Đình I, Đường Nguyễn Cơ Thạch, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội","5,2 tỷ",85 m²,2 phòng,2 phòng,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,Tây - Bắc,,
https://batdongsan.com.vn/ban-nha-rieng-duong-dong-hoi-xa-dong-hoi/vi-tri-kim-cuong-phu-anh-d-thong-o-to-vao-dat-ngay-van-hoa-sat-d-tu-lien-pr42988162,"Đường Đông Hội, thôn Hội Phụ, Xã Đông Hội, Đông Anh, Hà Nội","11,8 tỷ","93,5 m²",4 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,"6,25 m",,"5,2 m",1 tầng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-pho-trung-kinh-phuong-yen-hoa-2-prj-khu-do-thi-yen-hoa/chu-xoan-ban-bt-phan-lo-o-to-tranh-dtm-80m2-5-tang-mt-6m-gia-37-ty-co-thuong-luong-pr43080290,"Dự án Yên Hòa, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",37 tỷ,80 m²,,,,Sổ đỏ/ Sổ hồng,,6 m,,,5 tầng
https://batdongsan.com.vn/ban-dat-duong-dai-lo-thang-long-xa-thach-hoa-1/can-ban-manh-dep-tai-that-o-to-phi-veo-veo-gia-re-96m-2-7-ty-pr42021565,"Đường Đại lộ Thăng Long, Xã Thạch Hòa, Thạch Thất, Hà Nội","2,7 tỷ",96 m²,,,,,,6 m,,12 m,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tay-thang-long-xa-tan-lap-24-prj-noble-palace-tay-thang-long/chinh-chu-ban-garden-gia-300tr-m2-pr42490577,"Dự án Noble Palace Tây Thăng Long, Đường Tây Thăng Long, Xã Tân Lập, Đan Phượng, Hà Nội",300 triệu/m²,200 m²,,,,,,8 m,Tây - Nam,,
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-nguyen-van-giap-phuong-cau-dien-prj-hoang-thanh-pearl/ban-nhanh-suat-ngoai-giao-can-mat-du-an-lh-pr41513985,"Dự án Hoàng Thành Pearl, Đường Nguyễn Văn Giáp, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",Thỏa thuận,98 m²,,,,Hợp đồng mua bán.,,7 m,,,6 tầng
