Link,Địa chỉ,Mức giá,Diện tích,Mặt tiền,Nội thất,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Đường vào,Pháp lý
https://batdongsan.com.vn/ban-loai-bat-dong-san-khac-phuong-hoang-liet/ban-kiot-so-4-toa-nha-n05-ban-dao-linh-dam-mai-ha-noi-ngay-mat-duong-pr43046476,"Phường Hoàng Liệt, Hoàng Mai, Hà Nội","2,6 tỷ","47,4 m²",7 m,Nội thất cái tạo đẹp,,,,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-chinh-trung-thi-tran-trau-quy/ban-137m2-o-to-tranh-kinh-doanh-hoac-o-cuc-dinh-gia-thuong-luong-pr42794714,"Đường Chính Trung, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","20,2 tỷ",137 m²,5 m,Cơ bản,2 phòng,2 phòng,1 tầng,Đông - Nam,Đông - Nam,13 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-xuan-la/ban-chdv-70m2-22-phong-30m-ra-o-to-tranh-pccc-dat-chuan-dong-tien-lon-pr43045574,"Ngõ 603, Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội","18,9 tỷ",67 m²,"5,9 m",Đầy đủ,22 phòng,22 phòng,7 tầng,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-12-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/song-lap-view-ho-phan-khu-chi-27-ty-duy-nhat-tai-lam-pr42990354,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Sao Biển 12, Xã Dương Xá, Gia Lâm, Hà Nội",27 tỷ,135 m²,9 m,,,,4 tầng,Đông - Bắc,,,Sổ đỏ/ Sổ hồng.
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ngoc-trai-8-xa-da-ton-prj-vinhomes-ocean-park-gia-lam/chi-21-ty-so-huu-xe-khe-08-tai-1-phan-khu-vip-nhat-du-an-pr43094401,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Ngọc Trai 8, Xã Đa Tốn, Gia Lâm, Hà Nội",21 tỷ,"94,8 m²","7,9 m",Chưa có nội thất.,,,5 tầng,Tây - Bắc,,13 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-chi-thanh-phuong-lang-thuong/ban-7-tang-pho-dong-da-phan-lo-o-to-vao-50m2-thong-tin-that-100-pr42999744,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội","22,8 tỷ","49,3 m²",8 m,Đầy đủ,5 phòng,7 phòng,7 tầng,,,5 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-phuong-nghia-do-1/ban-nr-tai-vo-chi-cong-7-98-ty-54m2-6pn-3wc-chinh-chu-bao-dep-pr43139482,"Phường Nghĩa Đô, Cầu Giấy, Hà Nội","7,98 tỷ",54 m²,6 m,Đầy đủ.,6 phòng,3 phòng,4 tầng,,,3 m,Sổ đỏ/ Sổ hồng.
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vu-pham-ham-phuong-yen-hoa-2-prj-park-view-city/chinh-chu-goc-4pn-vip-e4-full-noi-that-tang-trung-ban-gap-pr42972089,"Dự án Park View City, Đường Vũ Phạm Hàm, Phường Yên Hòa, Cầu Giấy, Hà Nội","17,5 tỷ","179,6 m²",,Đầy đủ,4 phòng,2 phòng,,,,,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-bac-cau-phuong-ngoc-thuy/ban-tai-5-25-ty-44-m2-4pn-4wc-4-tang-pr43032421,"Đường Bắc Cầu, Phường Ngọc Thụy, Long Biên, Hà Nội","5,25 tỷ",44 m²,"4,4 m",Đầy đủ,3 phòng,4 phòng,4 tầng,,,3 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-ciputra/truc-tiep-cdt-ban-bt-mat-duong-17-5m-via-he-5m-n-ngay-so-do-luon-ho-tro-bank-pr42929719,"Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội",59 tỷ,150 m²,7 m,,5 phòng,5 phòng,4 tầng,,,"17,5 m",Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-ciputra/don-lap-co-ham-mat-duong-30m-kinh-doanh-gia-by-gia-dot-1-truc-tiep-cdt-pr42927625,"Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội","87,1 tỷ",180 m²,9 m,,4 phòng,,,,,30 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-ciputra/bt-don-lap-vip-2-mat-tien-cong-vien-co-ham-n-so-do-luon-mat-duong-21-5m-gan-lotte-pr42927324,"Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội","159,5 tỷ","318,5 m²",12 m,,4 phòng,,,,,"21,5 m",Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-nhat-chieu-phuong-nhat-tan-2/can-cuoi-cung-con-o-tay-ho-35m2-5-tang-gia-7-5-ty-pr43046174,"Đường Nhật Chiêu, Phường Nhật Tân, Tây Hồ, Hà Nội","7,5 tỷ",35 m²,4 m,,4 phòng,5 phòng,5 tầng,,,3 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dai-lo-thang-long-thi-tran-quoc-oai-1-prj-new-house-city/ban-bt-ng-36-05-ty-281-5m2-pr43041458,"New House City, Đại lộ Thăng Long, Quốc Oai, Quốc Oai, Hà Nội","36,05 tỷ","281,5 m²",12 m,Không nội thất,,,4 tầng,Đông - Nam,Đông,24 m,Sổ đỏ/ Sổ hồng
https://batdongsan.com.vn/ban-nha-rieng-duong-trau-quy-thi-tran-trau-quy/ban-5-tang-trung-tam-tt-quy-pr43044496,"Đường Trâu Quỳ, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","5,56 tỷ",30 m²,,,,,5 tầng,,,,
