Link,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất,Địa chỉ
https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-dinh-phuong-khuong-dinh/ga-de-trung-vang-6-tang-thang-may-10-phong-khep-kin-full-noi-that-trung-tam-thanh-xuan-pr42893785,"10,6 tỷ",40 m²,10 phòng,10 phòng,6 tầng,Đông - Nam,Đông - Nam,4 m,2 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ngoc-hoi-phuong-hoang-liet-prj-south-tower/minh-ban-2pn-79m2-gia-chuan-3-85-ty-vat-tu-du-lich-lh-pr43090665,"4,1 tỷ",75 m²,2 phòng,2 phòng,,Bắc,Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"South Tower Hoàng Liệt, ngõ 15/51 số 6, Đường Ngọc Hồi, Phường Hoàng Liệt, Hoàng Mai, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-la-phuong-xuan-tao-prj-kosmo-tay-ho/-chinh-chu-ban-3pn2wc-toa-novo-tang-dep-view-san-so-do-full-do-dep-lh-pr42581664,"8,2 tỷ","80,5 m²",2 phòng,2 phòng,,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Dự án Kosmo Tây Hồ, Đường Xuân La, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-hoang-dao-thuy-phuong-trung-hoa-4-prj-khu-do-thi-trung-hoa-nhan-chinh/ban-146m2-toa-34t-ang-chi-8-99-ty-lh-nam-pr43092954,"8,99 tỷ",146 m²,3 phòng,2 phòng,,Tây - Bắc,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Dự án Trung Hòa Nhân Chính, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-giang-bien-1-prj-ruby-city/ban-ct1-57-3m2-2pn-2wc-gia-2-ty-940-bao-phi-pr43118476,"2,94 tỷ","57,3 m²",2 phòng,2 phòng,,Tây - Nam,Đông - Bắc,,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,"Dự án Ruby City, Phường Giang Biên, Long Biên, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-seasons-avenue/toi-chinh-chu-ban-116m2-tang-trung-toa-s2-lh-toi-pr43143474,"8,1 tỷ","111,4 m²",3 phòng,2 phòng,,Tây - Bắc,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội"
https://batdongsan.com.vn/ban-dat-duong-pho-yen-xa-tien-phong-8/sieu-pham-ng-me-linh-ha-noi-gia-trong-dan-pr43091028,54 triệu/m²,"72,5 m²",,,,Đông - Nam,,"4,3 m","4,5 m",Sổ đỏ/ Sổ hồng,,"Đường Phố Yên, Xã Tiền Phong, Mê Linh, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-5b-xa-da-ton-prj-masteri-waterfront/re-va-dep-nhat-thi-truong-chinh-chu-ban-2n2w-tai-vinmes-oceanpark-gia-lam-ha-noi-pr42547923,"3,25 tỷ","63,3 m²",2 phòng,2 phòng,,,,,,Sổ đỏ/ Sổ hồng,,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội"
https://batdongsan.com.vn/ban-nha-rieng-duong-yen-hoa-phuong-yen-hoa-2/ban-cau-giay-5-tang-cuc-dep-mt-4-95m-30-5m-ngo-nong-dan-tri-cao-pr42479376,"7,6 tỷ","30,5 m²",3 phòng,4 phòng,5 tầng,,,"4,95 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội"
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-miami/chinh-chu-ban-gap-dep-2pn-2wc-tai-phan-khu-gs-3-8-ty-63-7m2-tai-smart-city-mo-pr43098417,"4,1 tỷ","63,7 m²",2 phòng,2 phòng,,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Dự án The Miami, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội"
