Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Mặt tiền,Đường vào,Pháp lý,Nội thất,Số tầng,Hướng nhà,Hướng ban công
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-tao-phuong-xuan-dinh/ban-tai-13-8-ty-50-m2-dep-lo-goc-o-to-nhieu-tien-ich-pr43020862,"Đường Xuân Tảo, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","13,8 tỷ",50 m²,4 phòng,4 phòng,6 m,6 m,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-phu-dien/6-ty-38m-tang-sang-full-do-mau-pr43029955,"Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",6 tỷ,38 m²,4 phòng,4 phòng,5 m,"2,5 m",Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,,
https://batdongsan.com.vn/ban-dat-duong-do-nha-phuong-tay-mo/ban-52m-20-buoc-ra-o-to-tranh-gia-6-ty-o-ccmn-pr43135660,"Đường Do Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",6 tỷ,52 m²,,,,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-nghia-do-1/ban-dan-xay-tt-tay-ho-dien-tich-50m2x4t-2thoang-o-to-cong-gia-8-8-ty-pr42666965,"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội","8,8 tỷ",50 m²,4 phòng,3 phòng,"3,6 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vanh-dai-3-5-xa-van-canh-1-prj-an-lac-green-symphony/hang-hiem-song-lap-co-ham-view-cong-vien-vi-tri-trung-tam-gia-dau-tu-don-song-3-5-pr40490035,"Dự án An Lạc Green Symphony, Đường Vành Đai 3.5, Xã Vân Canh, Hoài Đức, Hà Nội",35 tỷ,202 m²,,,10 m,,HĐMB,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-la-phuong-xuan-la/ban-gap-toa-can-ho-ngo-38-dt85m2x7-tang-thang-may-18-can-ho-o-to-do-cua-gia-24-2-ty-pr43028728,"Ngõ 38, Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội","24,2 tỷ","84,5 m²",18 phòng,18 phòng,5 m,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ,7 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-cau-giay-phuong-quan-hoa/toa-can-ho-pho-nguyen-khanh-toan-dt70m2-ngo-gan-4m-18-phong-doanh-thu-100tr-thang-gia-18-9-ty-pr43039233,"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội","18,9 tỷ",70 m²,18 phòng,18 phòng,"5,1 m",,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dao-phuong-phu-do/chi-8-ty-co-toa-ccmn-xay-moi-dt40m2x6t-thang-may-gan-o-to-day-du-gpxd-va-pccc-dat-chuan-pr43058430,"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội","8,2 tỷ",40 m²,9 phòng,9 phòng,"3,9 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ.,6 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoa-bang-phuong-yen-hoa-2/ban-toa-ccmn-tt-cau-giay-dien-tich-62m2x6t-thang-may-cach-pho-30m-o-to-do-cua-15-phong-gia-16-8-ty-pr42664917,"Đường Hoa Bằng, Phường Yên Hòa, Cầu Giấy, Hà Nội","16,8 tỷ",62 m²,15 phòng,16 phòng,,3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-yen-hoa-phuong-yen-hoa-2/ban-mat-ngo-thong-pho-dt-57m2-cach-pho-15m-full-noi-that-dan-xay-gia-12-8-ty-pr43058895,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội","12,8 tỷ",57 m²,3 phòng,3 phòng,"3,6 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-nghia-do-1/ban-ngo-89-dien-tich-38m2x7t-thang-may-gara-o-to-sat-ho-tay-gia-13-6-ty-pr43042534,"Ngõ 89, Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội","13,6 tỷ",38 m²,3 phòng,7 phòng,,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ,7 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-yen-hoa-phuong-yen-hoa-2/sieu-pham-tt-cau-giay-dien-tich-35m2x5t-ngo-rong-gan-pho-full-noi-that-xin-gia-nhinh-7-ty-pr43120334,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội","7,98 tỷ",35 m²,3 phòng,4 phòng,"4,2 m",3 m,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-quan-hoa-phuong-quan-hoa/ban-nguyen-khanh-toan-cau-giay-tien-o-lam-van-ng-via-he-oto-30-ty-tl-pr43135514,"Đường Quan Hoa, Phường Quan Hoa, Cầu Giấy, Hà Nội",30 tỷ,62 m²,6 phòng,7 phòng,"5,5 m",15 m,Sổ đỏ/ Sổ hồng,,7 tầng,,
