Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Pháp lý,Nội thất,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
https://batdongsan.com.vn/ban-nha-rieng-duong-vo-chi-cong-phuong-nghia-do-1/ban-toa-chung-cu-mini-50m2-x-6t-xay-moi-du-pccc-10-pkk-dong-tien-600-trieu-nam-pr43130209,"Đường Võ Chí Công, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",11 tỷ,50 m²,10 phòng,10 phòng,6 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-ho-tung-mau-phuong-mai-dich/276-tr-m2-rong-30m-102m2-mt-4-5m-no-hau-5-1m-pr42850262,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội","28,2 tỷ",102 m²,,,,Sổ đỏ/ Sổ hồng,,"4,5 m",30 m,,
https://batdongsan.com.vn/ban-dat-duong-hau-ai-xa-van-canh-1/ban-ho-duc-vi-tri-dep-o-to-tranh-chi-cach-3-5m-10m-pr42868257,"Đường Hậu Ái, Xã Vân Canh, Hoài Đức, Hà Nội","10,7 tỷ",74 m²,,,,Sổ đỏ/ Sổ hồng,,,,,
https://batdongsan.com.vn/ban-dat-thi-tran-xuan-mai-1/hang-hot-lo-goc-hoa-hau-dau-gia-view-song-container-do-cua-tai-khu-dong-khoang-beo-mai-pr43137618,"Khu đấu giá Khoang Bèo, Thị trấn Xuân Mai, Chương Mỹ, Hà Nội","8,8 tỷ","112,71 m²",,,,Sổ đỏ/ Sổ hồng,,"6,5 m",,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-dong-ngac-prj-sunshine-city/chinh-chu-ban-s56-97-7m2-so-do-3pn-view-noi-khu-8-5ty-full-do-roi-pr42994888,"Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","8,5 tỷ","97,7 m²",3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,Đông - Nam,Tây - Bắc
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-dong-ngac-prj-sunshine-city/ban-goc-3-phong-ngu-mau-103-8m2-thong-thuy-co-2-ban-cong-dep-gia-7-4ty-pr42730062,"Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","8,4 tỷ","103,8 m²",3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,"Đầy đủ Giường tủ, bàn ghế, bếp, điều hòa 2 chiều Daikin, smarthome thông minh, TBVS Kohler,...",,,Đông - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-70-2-phuong-dai-mo-prj-louis-city-dai-mo/can-ban-luis-sat-le-quang-dao-keo-so-do-san-sang-giao-dich-lh-pr43018592,"Dự án Louis City Đại Mỗ, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",48 tỷ,200 m²,,,,Sổ đỏ/ Sổ hồng,Không nội thất,,,Tây - Nam,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/-sao-bien-15-gan-cong-vien-gan-bien-tai-oceanpark-1-lam-pr43104598,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","17,5 tỷ",89 m²,,,4 tầng,Sổ đỏ/ Sổ hồng.,,"7,5 m",13 m,Tây - Bắc,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-duong-noi-prj-an-quy-villa-kdt-duong-noi/c-b-huong-dong-nam-phap-ly-so-do-lh-pr42822470,"Dự án An Quý Villa - KĐT Dương Nội, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội","32,5 tỷ",182 m²,5 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Không nội thất,9 m,"11,5 m",Đông - Nam,Đông - Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-dong-ngac-prj-sunshine-city/ban-goc-3-ngu-s4-104-1-m2-2-ban-cong-thoang-tang-cao-thoang-9-5ty-so-pr42948187,"Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","9,5 tỷ","104,1 m²",3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,Tây - Bắc,Đông - Nam
https://batdongsan.com.vn/ban-dat-xa-lai-thuong/chinh-chu-muon-ban-lo-tai-gap-chi-co-20tr-m-duong-lon-re-nhat-hoa-lac-san-so-do-pr42272475,"Xã Lại Thượng, Thạch Thất, Hà Nội",15 triệu/m²,"149,1 m²",,,,Sổ đỏ/ Sổ hồng,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-vinh-tuy-prj-times-city/-tai-2-ngu-tai-dien-tich-70m2-gia-chao-ban-6-ty-noi-that-cao-cap-full-do-pr42760769,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",6 tỷ,75 m²,2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Full đồ.,,,Bắc,Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-sa-xa-dong-hoi-prj-masteri-grand-avenue/ban-2pn-2vs-tang-16-vinhomes-co-loa-view-song-hong-cau-nhat-tan-san-bay-noi-bai-gia-goc-cdt-pr42456193,"Dự án Masteri Grand Avenue, Đường Trường Sa, Xã Đông Hội, Đông Anh, Hà Nội",Thỏa thuận,57 m²,2 phòng,2 phòng,,,Đầy đủ,,,Đông - Nam,Tây - Bắc
https://batdongsan.com.vn/ban-dat-duong-hoang-ngan-phuong-trung-hoa-4/-pl-150m2-mt-9m-2-o-to-tranh-truoc-sau-gan-pho-pr41732143,"Đường Hoàng Ngân, Phường Trung Hòa, Cầu Giấy, Hà Nội",28 tỷ,150 m²,,,,Sổ đỏ/ Sổ hồng,,9 m,6 m,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-the-diamond-residence/-chu-ban-goc-161m2-dn-tang-trung-dep-view-khong-che-full-do-cao-cap-moi-brg-luong-pr41858366,"Dự án The Diamond Residence, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",Thỏa thuận,161 m²,4 phòng,3 phòng,,Sổ đỏ/ Sổ hồng,Không nội thất,,,Đông - Bắc,Bắc
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-quang-dieu-phuong-o-cho-dua/l-gc-pl-kinh-danh-2-t-75m2-mt-4-8m-7t-thang-may-gia-20-ty-pr41752212,"Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",20 tỷ,75 m²,,,7 tầng,Sổ đỏ/ Sổ hồng,,"4,8 m",5 m,,
