Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Mặt tiền,Đường vào,Pháp lý,Hướng ban công,Nội thất,Hướng nhà
https://batdongsan.com.vn/ban-nha-rieng-duong-bo-de-phuong-bo-de/ban-11-95-ty-48m2-3pn-3wc-tai-lo-goc-dau-tu-pr43125657,"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội","11,95 tỷ",48 m²,3 phòng,3 phòng,4 tầng,"6,5 m",4 m,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-1-prj-vinhomes-skylake/minh-ban-1-ngu-dep-hiem-toa-s2-tang-trung-cao-ban-cong-dn-thoang-co-san-dong-tien-pr43100965,"Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Thỏa thuận,45 m²,1 phòng,1 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ,
https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-6-phuong-dong-mai-1/ban-32-1m2-gan-6-gia-3ty398tr-o-to-gan-so-do-chuan-khong-quy-hoach-khong-i-phong-thuy-pr42903620,"Đường Quốc lộ 6, Phường Đồng Mai, Hà Đông, Hà Nội","3,4 tỷ","32,1 m²",4 phòng,3 phòng,5 tầng,"3,96 m",,Sổ đỏ/ Sổ hồng,,Cơ bản,
https://batdongsan.com.vn/ban-dat-thi-tran-trau-quy/cc-gui-ban-230m2-mt-11-75m-biet-thu-don-lap-khu-31ha-gia-lam-gia-re-nhat-truong-pr42842272,"Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",128 triệu/m²,236 m²,,,,"11,75 m","13,5 m",Sổ đỏ/ Sổ hồng,,,Tây - Bắc
https://batdongsan.com.vn/ban-dat-duong-21a-xa-phu-man/hang-hiem-tai-quoc-oai-gia-nhinh-3-ty-60m2-full-tho-cu-mat-ql-21a-pr42643783,"Đường 21A, Xã Phú Mãn, Quốc Oai, Hà Nội","3,3 tỷ",60 m²,,,,4 m,8 m,Sổ đỏ/ Sổ hồng,,,Đông - Bắc
https://batdongsan.com.vn/ban-dat-xa-thach-hoa-1/hang-dep-sieu-hiem-lo-76-1m2-tai-dinh-cu-dai-hoc-quoc-gia-re-hon-ca-phan-lo-pr42957007,"Xã Thạch Hòa, Thạch Thất, Hà Nội","3,5 tỷ","76,1 m²",,,,5 m,,Sổ đỏ.,,,
https://batdongsan.com.vn/ban-dat-thi-tran-xuan-mai-1/hang-hot-lo-goc-hoa-hau-dau-gia-view-song-container-do-cua-tai-khu-dong-khoang-beo-mai-pr43137618,"Khu đấu giá Khoang Bèo, Thị trấn Xuân Mai, Chương Mỹ, Hà Nội","8,8 tỷ","112,71 m²",,,,"6,5 m",,Sổ đỏ/ Sổ hồng,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-dong-ngac-prj-sunshine-city/chinh-chu-ban-s56-97-7m2-so-do-3pn-view-noi-khu-8-5ty-full-do-roi-pr42994888,"Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","8,5 tỷ","97,7 m²",3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Tây - Bắc,Đầy đủ,Đông - Nam
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-dong-ngac-prj-sunshine-city/ban-goc-3-phong-ngu-mau-103-8m2-thong-thuy-co-2-ban-cong-dep-gia-7-4ty-pr42730062,"Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","8,4 tỷ","103,8 m²",3 phòng,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đông - Nam,"Đầy đủ Giường tủ, bàn ghế, bếp, điều hòa 2 chiều Daikin, smarthome thông minh, TBVS Kohler,...",Đông - Bắc
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-70-2-phuong-dai-mo-prj-louis-city-dai-mo/can-ban-luis-sat-le-quang-dao-keo-so-do-san-sang-giao-dich-lh-pr43018592,"Dự án Louis City Đại Mỗ, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",48 tỷ,200 m²,,,,,,Sổ đỏ/ Sổ hồng,,Không nội thất,Tây - Nam
