Link,Địa chỉ,Mức giá,Diện tích,Mặt tiền,Pháp lý,Hướng nhà,Đường vào,Số phòng ngủ,"Số phòng tắm, vệ sinh",Nội thất,Hướng ban công,Số tầng
https://batdongsan.com.vn/ban-nha-rieng-pho-kim-ma-phuong-kim-ma/ban-vi-tri-dat-gia-o-to-tranh-kinh-doanh-dinh-cao-pr43119436,"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội","16,75 tỷ",40 m²,,,,,,,,,
https://batdongsan.com.vn/ban-kho-nha-xuong-xa-tan-uoc-prj-cum-cong-nghiep-thanh-van-tan-uoc/chinh-chu-ban-lo-dat-2500m2-gia-sieu-re-pr42204143,"Cụm công nghiệp Thanh Văn - Tân Ước, Xã Tân Ước, Thanh Oai, Hà Nội",8 triệu/m²,2.500 m²,40 m,Hợp đồng mua bán,,,,,,,
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-van-canh-1-prj-an-lac-green-symphony/b-sieu-tiem-ng-vi-tri-kim-cuong-tai-greensymphony-hoai-duc-pr43079889,"Dự án An Lạc Green Symphony, Xã Vân Canh, Hoài Đức, Hà Nội",Thỏa thuận,122 m²,6 m,Hợp đồng mua bán,Đông - Bắc,30 m,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/3pn-khong-view-xau-gia-tot-nhat-ciputra-88-1m2-gia-7-550-ty-tang-cao-nha-moi-pr43033694,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","7,52 tỷ","88,1 m²",,Sổ đỏ,,,3 phòng,2 phòng,Cơ bản,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/ban-3pn-2wc-98-9-m2-gia-tot-nhat-toan-khu-7-ty-bao-phi-so-do-pr42925719,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",7 tỷ,"98,9 m²",,SĐCC,Nam,,3 phòng,2 phòng,Đầy đủ,Bắc,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/ban-3pn-tang-cao-88-8-m2-san-so-toa-s4-gia-8ty-full-noi-that-ciputra-pr43110121,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",8 tỷ,"88,8 m²",,Sổ đỏ/ Sổ hồng,,,3 phòng,2 phòng,Đầy đủ,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/ban-2pn-2-ban-cong-tai-ciputra-tang-cao-co-so-view-song-6-8-ty-80-3m2-pr43109915,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","6,8 tỷ","80,3 m²",,Sổ đỏ/ Sổ hồng,Bắc,,2 phòng,2 phòng,,Nam,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/ban-3pn-ciputra-7-85-ty-85-3m2-3pn-2wc-so-do-ban-cong-nam-pr43109526,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","7,85 tỷ","85,3 m²",,Sổ đỏ/ Sổ hồng,Tây - Bắc,,3 phòng,2 phòng,Đầy đủ,Đông - Nam,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-imperia-smart-city/chinh-chu-ban-goc-2pn-63-9m2-gia-4-5-ty-tang-trung-huong-mat-co-slot-o-to-toa-imperia-pr42948287,"Dự án Imperia Smart City, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,5 tỷ","63,9 m²",,Sổ đỏ/ Sổ hồng,,,2 phòng,,Full nội thất.,Đông - Nam,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-chi-thanh-phuong-lang-thuong/-phan-lo-24-ty-50-m2-7-tang-o-to-do-cua-pr42666467,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",24 tỷ,50 m²,,Sổ đỏ/ Sổ hồng,,,,,,,7 tầng
https://batdongsan.com.vn/ban-nha-rieng-duong-thuy-khue-phuong-thuy-khue/ban-tay-ho-cach-ho-tay-vai-buoc-dang-cho-thue-28-trieu-thang-pr42734656,"Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội","10,8 tỷ",43 m²,"3,6 m",Sổ đỏ/ Sổ hồng,,,6 phòng,,,,5 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-masteri-west-heights/chinh-chu-ban-3pn-72-8m2-gia-5-6-ty-view-dieu-a-co-slot-o-to-du-an-heights-pr42957073,"Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","5,6 tỷ","72,8 m²",,Sổ đỏ/ Sổ hồng,,,3 phòng,,,Đông - Bắc,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-duc-giang-phuong-duc-giang-2-prj-binh-minh-garden/4-8-ty-co-75m2-huong-bac-tang-trung-chu-thien-chi-ban-garden-pr43118578,"Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội","4,8 tỷ",75 m²,,Sổ đỏ/ Sổ hồng,Bắc,,2 phòng,2 phòng,"Hoàn thiện: Sàn, tường, trần thạch cao, thiết bị vệ sinh, đầu chờ điều hòa,...",Nam,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-32-thi-tran-tram-troi-prj-westpoint-nam-duong-32/ban-32-da-n-vi-tri-dep-gia-tot-pr41418283,"Westpoint - Nam đường 32, 32, Trạm Trôi, Hoài Đức, Hà Nội",Thỏa thuận,78 m²,6 m,Hợp đồng mua bán,Đông - Nam,13 m,5 phòng,4 phòng,,Đông - Nam,4 tầng
https://batdongsan.com.vn/ban-kho-nha-xuong-duong-dt-429-xa-tan-uoc-prj-cum-cong-nghiep-thanh-van-tan-uoc/ban-dat-tai-gia-8-3-trieu-m2-2000m2-view-dep-pr42587770,"Cụm công nghiệp Thanh Văn - Tân Ước, Đường ĐT 429, Xã Tân Ước, Thanh Oai, Hà Nội","8,3 triệu/m²",2.000 m²,40 m,Hợp đồng mua bán,,14 m,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-khat-chan-phuong-thanh-nhan/ban-6-tang-xay-moi-thang-may-p-khau-ngo-nong-sat-pho-dt-40m2-gia-8-6-ty-pr42309925,"Đường Trần Khát Chân, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội","8,6 tỷ",40 m²,,Sổ đỏ/ Sổ hồng,,2 m,3 phòng,4 phòng,Cơ bản,,6 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hong-ha-phuong-chuong-duong/-ng-tap-the-dau-tu-giu-tien-dong-tien-3-ngu-full-noi-tt-dt-80m-3-8ty-pr43118142,"Đường Hồng Hà, Phường Chương Dương, Hoàn Kiếm, Hà Nội","3,8 tỷ",80 m²,,Sổ đỏ/ Sổ hồng,,,3 phòng,2 phòng,Full nội thất.,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ly-tu-trong-phuong-la-khe/ban-ha-dong-ngo-thong-thoang-oto-do-cua-42m2-chi-6-9-ty-pr43113434,"Đường Lý Tự Trọng, Phường La Khê, Hà Đông, Hà Nội","6,9 tỷ",42 m²,4 m,Sổ đỏ/ Sổ hồng,,3 m,4 phòng,4 phòng,,,4 tầng
https://batdongsan.com.vn/ban-kho-nha-xuong-duong-quoc-lo-21b-xa-phuong-trung-1-prj-cum-cong-nghiep-phuong-trung/ban-dat-thanh-oai-dt-1000m2-gia-chi-nhinh-8tr-m2-da-bao-gom-vat-da-co-so-do-tung-lo-pr39491494,"Dự án Cụm công nghiệp Phương Trung, Đường Quốc lộ 21B, Xã Phương Trung, Thanh Oai, Hà Nội",Thỏa thuận,1.000 m²,25 m,Sổ đỏ/ Sổ hồng,,15 m,,,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-xien-phuong-ha-dinh/toa-van-phong-8-tang-moi-mp-36-ty-68m-dong-tien-100-tr-th-pr42976740,"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",36 tỷ,68 m²,,Sổ đỏ/ Sổ hồng,,,,,,,8 tầng
https://batdongsan.com.vn/ban-dat-duong-bac-cau-phuong-ngoc-thuy/chinh-chu-gui-ban-manh-62m2-mt4m1-tai-5ty1-pr42989624,"Tổ 37, Đường Bắc Cầu, Phường Ngọc Thụy, Long Biên, Hà Nội","5,1 tỷ",62 m²,"4,1 m",Sổ đỏ/ Sổ hồng.,Tây - Nam,"4,5 m",,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-prj-eurowindow-multi-complex/ban-ch-95m-2n2w-gia-6-5-ty-toa-euro-window-cau-giay-pr40608507,"Dự án Eurowindow Multi Complex, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội","7,45 tỷ",94 m²,,Sổ đỏ/ Sổ hồng,,,3 phòng,2 phòng,Đầy đủ,,
https://batdongsan.com.vn/ban-nha-rieng-pho-tran-dai-nghia-phuong-dong-tam/ban-hai-ba-trung-o-to-vao-kinh-doanh-37m-x-5-tang-gia-chi-8-xt-pr42551569,"Phố Trần Đại Nghĩa, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội","10,5 tỷ",37 m²,,Sổ đỏ/ Sổ hồng,,,,,Đầy đủ,,5 tầng
https://batdongsan.com.vn/ban-nha-rieng-duong-vinh-hung-phuong-vinh-hung-2/ban-5-tang-6-ngu-o-hoac-cho-thue-hai-ra-tien-sat-oto-tranh-35m2-5-46-ty-pr42945499,"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội","5,46 tỷ",35 m²,,Sổ đỏ/ Sổ hồng,,2 m,6 phòng,4 phòng,Cơ bản,,5 tầng
https://batdongsan.com.vn/ban-nha-rieng-duong-bac-cau-phuong-ngoc-thuy/ban-c4-lo-goc-oto-3ty3-pr43088096,"Đường Bắc Cầu, Phường Ngọc Thụy, Long Biên, Hà Nội","3,3 tỷ",33 m²,"3,3 m",Sổ đỏ/ Sổ hồng,Tây - Bắc,"2,5 m",2 phòng,1 phòng,Cơ bản.,,1 tầng
https://batdongsan.com.vn/ban-kho-nha-xuong-duong-kim-bai-thi-tran-kim-bai/chinh-chu-ban-2000m2-dat-cum-cong-nghiep-thanh-oai-gia-hon-7tr-m2-pr40553300,"Đường Kim Bài, Thị trấn Kim Bài, Thanh Oai, Hà Nội","7,7 triệu/m²",2.000 m²,33 m,,,"20,5 m",,,,,
https://batdongsan.com.vn/ban-dat-duong-thanh-am-phuong-thuong-thanh-1/tai-dinh-cu-dang-vu-hy-long-bien-via-he-kd-dt-75m-mt-5-6m-chi-195tr-m-co-tl-pr43008520,"Đường Thanh Am, Phường Thượng Thanh, Long Biên, Hà Nội","14,5 tỷ",75 m²,"5,6 m",Sổ đỏ/ Sổ hồng.,Tây - Bắc,12 m,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/chinh-chu-f0-ban-lai-cho-quy-khach-hang-dau-tu-va-o-pr42113000,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",230 triệu/m²,100 m²,5 m,Sổ đỏ/ Sổ hồng,Nam,12 m,5 phòng,5 phòng,Không nội thất.,Bắc,5 tầng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-thanh-thai-phuong-dich-vong-prj-khu-do-thi-moi-dich-vong/ban-song-lap-kdt-cau-giay-152m-x-4-t-mt-7-6-1-ham-gia-68-ty-pr43119102,"Dự án ĐTM Dịch Vọng, Đường Thành Thái, Phường Dịch Vọng, Cầu Giấy, Hà Nội",68 tỷ,152 m²,"7,6 m",Sổ đỏ/ Sổ hồng,Đông,12 m,2 phòng,6 phòng,Đầy đủ,Đông,4 tầng
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-le-van-thiem-phuong-nhan-chinh-prj-chung-cu-golden-west/ban-50-3-ngu-ban-giao-moi-an-toan-noi-that-tuy-cn-west-pr43067889,"Golden West, Số 02, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội","5,98 tỷ",92 m²,,Hợp đồng mua bán,,,3 phòng,2 phòng,Cơ bản,,
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-thuy-phuong-dich-vong-hau/hiem-4-tang-pho-cau-giay-dt-65m2-mt-8-8m-gia-15-5-ty-kinh-doanh-sam-uat-pr41385293,"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội","15,5 tỷ",65 m²,"8,8 m",Sổ đỏ/ Sổ hồng,Tây - Nam,5 m,4 phòng,3 phòng,,,4 tầng
https://batdongsan.com.vn/ban-kho-nha-xuong-duong-21b-thi-tran-kim-bai-prj-cum-cong-nghiep-kim-bai/chinh-chu-can-ban-lo-dat-2000m2-telin-park-thanh-oai-pr40882163,"Cụm công nghiệp Kim Bài, Đường 21B, Thị trấn Kim Bài, Thanh Oai, Hà Nội",Thỏa thuận,2.000 m²,33 m,Hợp đồng mua bán,,205 m,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dao-phuong-phu-do/nhinh-6-ty-ban-nam-tu-liem-dan-xay-35mx5t-hai-thoang-ngo-nong-rong-gan-o-to-pr42860976,"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội","6,4 tỷ",35 m²,,Sổ đỏ/ Sổ hồng,,"2,5 m",3 phòng,4 phòng,Đầy đủ,,5 tầng
https://batdongsan.com.vn/ban-dat-xa-van-con/quyet-tien-chinh-chu-can-ban-manh-dep-duong-oto-16-cach-dai-lo-50m-pr43073755,"Quyết Tiến, Xã Vân Côn, Hoài Đức, Hà Nội",78 triệu/m²,54 m²,"4,3 m",Sổ đỏ/ Sổ hồng,Nam,5 m,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-khat-chan-phuong-thanh-nhan/ban-5-tang-thang-may-lo-goc-3-thoang-mat-tien-rong-sat-pho-40m2-gia-8-6-ty-pr42309881,"Đường Trần Khát Chân, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội","8,6 tỷ",40 m²,"4,1 m",Sổ đỏ/ Sổ hồng,,2 m,3 phòng,4 phòng,,,5 tầng
https://batdongsan.com.vn/ban-dat-duong-23b-xa-tien-duong/ban-tai-dinh-cu-bo-cong-an-dong-anh-23b-pr39950591,"Đường 23B, Xã Tiên Dương, Đông Anh, Hà Nội",9 tỷ,60 m²,"3,9 m",Sổ đỏ/ Sổ hồng,Tây - Nam,20 m,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-thap-doi-kepler-land/ban-1pn-gia-dau-tu-dot-1-lh-pr43117639,"Dự án Tháp đôi Kepler Land, Phường Mỗ Lao, Hà Đông, Hà Nội","3,9 tỷ",43 m²,,Sổ đỏ/ Sổ hồng,Tây - Bắc,,1 phòng,,,Đông - Nam,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-linh-phuong-thach-ban-1/-mat-ngo-68-88-m2-6-tang-mat-tien-4-7m-dai-19m-14-8-ty-ban-pr42861045,"Ngõ 68, Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội","14,8 tỷ",88 m²,"4,7 m",Sổ đỏ/ Sổ hồng,,6 m,4 phòng,5 phòng,Đầy đủ,,6 tầng
https://batdongsan.com.vn/ban-nha-rieng-duong-lang-phuong-lang-thuong/ban-nr-sieu-hot-tai-dong-da-ha-noi-10-5-ty-50m2-4-tang-pr43098666,"Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội","10,5 tỷ",50 m²,4 m,Sổ đỏ/ Sổ hồng,,,,,,,4 tầng
