Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Số tầng,Mặt tiền,Đường vào
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-me-tri-phuong-my-dinh-1-prj-the-manor-ha-noi/cap-nhat-quy-cao-cap-dang-giao-ban-189m-193m-3pn-gia-68tr-m2-pr42129584,"Dự án The Manor, đường Mễ Trì, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",14 tỷ,189 m²,3 phòng,2 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-pho-vong-phuong-bach-khoa/chinh-chu-ban-hbt-dt-140m-mt-4-2m-7-tang-thang-may-full-noi-that-via-he-rong-pr43088106,"Phố Phố Vọng, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",35 tỷ,140 m²,10 phòng,10 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,7 tầng,"4,2 m",32 m
https://batdongsan.com.vn/ban-nha-rieng-duong-do-duc-duc-phuong-me-tri/chinh-chu-ban-my-dinh-dt-40m-mt-6-5m-6-thang-may-full-noi-that-cach-oto-dung-10m-pr43102984,"Đường Đỗ Đức Dục, Phường Mễ Trì, Nam Từ Liêm, Hà Nội","8,8 tỷ",40 m²,6 phòng,6 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,"6,5 m",3 m
https://batdongsan.com.vn/ban-dat-duong-da-ton-xa-da-ton/chinh-chu-ban-tai-gia-lam-hn-48m2-gia-1-ty-700-trieu-pr38379666,"Đường Đa Tốn, Xã Đa Tốn, Gia Lâm, Hà Nội","5,6 tỷ",93 m²,,,Đông - Nam,,Sổ đỏ/ Sổ hồng,,,"6,2 m",3 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-van-phuc-1-prj-tsq-galaxy/chinh-chu-ban-ha-dong-101m2-6-tang-mt-6m-thang-may-truc-chinh-kinh-doanh-sieu-tot-pr43032147,"Dự án TSQ Galaxy, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội",35 tỷ,101 m²,6 phòng,6 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,6 m,15 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-prj-imperia-garden/-gia-that-gia-dinh-ban-2-pn-2-vs-cc-graden-203-80m2-pr42021718,"Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội","5,5 tỷ",80 m²,2 phòng,2 phòng,Nam,Nam,Sổ đỏ/ Sổ hồng,Nội thất cao cấp chuẩn hãng Boss của Đức.,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-goldseason/sieu-hot-chu-nha-tien-giam-soc-500-trieu-3pn-2vs-goc-du-an-gold-season-so-lau-dai-pr41604004,"GoldSeason, 47, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",7 tỷ,105 m²,3 phòng,2 phòng,Nam,Nam,Sổ hồng,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-prj-imperia-garden/chu-nha-tien-giam-soc-300tr-3pn-2vs-goc-dep-nhat-cc-graden-pr41641675,"Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội","8,15 tỷ","97,5 m²",3 phòng,2 phòng,Nam,Nam,Sổ đỏ/ Sổ hồng,Đầy đủ Nội thất cao cấp chuẩn hãng BOSS của Đức.,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-prj-imperia-garden/chinh-chu-ban-3pn-goc-dt-121m2-tai-graden-bc-dong-nam-tang-16-pr42502421,"Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",10 tỷ,"121,4 m²",3 phòng,2 phòng,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-dat-duong-419-xa-tan-xa/can-ban-cat-lo-100m-gan-cncao-xung-quanh-nhieu-nha-tro-chung-cu-nha-hang-pr42987397,"Đường 419, Xã Tân Xã, Thạch Thất, Hà Nội","4,4 tỷ",100 m²,,,Nam,,Sổ đỏ/ Sổ hồng,,,"5,26 m",4 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-nhan-chinh-prj-the-legend-tower-109-nguyen-tuan/sieu-hot-chu-nha-tien-giam-soc-500tr-3-ngu-2vs-goc-dep-nhat-du-an-legend-pr41693980,"Dự án Legend Tower 109 Nguyễn Tuân, Đường Nguyễn Tuân, Phường Nhân Chính, Thanh Xuân, Hà Nội","7,8 tỷ","105,5 m²",3 phòng,2 phòng,Nam,Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/3pn-khong-view-xau-gia-tot-nhat-ciputra-88-1m2-gia-7-550-ty-tang-cao-nha-moi-pr43033694,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","7,52 tỷ","88,1 m²",3 phòng,2 phòng,,,Sổ đỏ,Cơ bản,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-an-khanh-4-prj-thang-long-capital/ban-gap-3pn-2vs-goc-100m2-full-noi-that-gia-nhinh-4-ty-so-do-san-giao-dich-pr41483046,"Dự án Thăng Long Capital, Xã An Khánh, Hoài Đức, Hà Nội",Thỏa thuận,"96,8 m²",3 phòng,2 phòng,Nam,Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-my-dinh-phuong-my-dinh-2/cuc-re-toa-chdv-55m-7tang-thang-may-mt-rong-sat-pho-dt-900tr-nam-du-pccc-pccc-pr43113133,"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",11 tỷ,55 m²,12 phòng,12 phòng,,,Có sổ,,7 tầng,,3 m
https://batdongsan.com.vn/ban-nha-rieng-duong-au-co-phuong-quang-an-2/b-5-tg-o-to-trh-g-ngay-ho-tay-o-vi-tri-dep-mat-tien-rong-100m2-mt16m2-33-ty-pr43113131,"Đường Âu Cơ, Phường Quảng An, Tây Hồ, Hà Nội",33 tỷ,100 m²,8 phòng,6 phòng,,Tây - Bắc,Sổ đỏ/ Sổ hồng,Cơ bản,5 tầng,"16,1 m",8 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-chi-thanh-phuong-lang-thuong-prj-vinhomes-nguyen-chi-thanh/ban-vinmes-167m2-4pn-goc-cac-png-deu-tang-lh-pr42978726,"Vinhomes Nguyễn Chí Thanh, Nguyễn Chí Thanh, Láng Thượng, Đống Đa, Hà Nội",Thỏa thuận,167 m²,4 phòng,,,,,,,,
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-23-2-xa-tien-phong-8-prj-khu-do-thi-cienco-5-me-linh/b-lo-goc-biet-thu-a-5-hn-pr42213354,"Dự án Cienco 5 Mê Linh, Đường 23, Xã Tiền Phong, Mê Linh, Hà Nội",Thỏa thuận,356 m²,,,Đông,,Sổ đỏ/ Sổ hồng,,,20 m,15 m
https://batdongsan.com.vn/ban-nha-rieng-duong-phan-dinh-giot-phuong-la-khe/ban-chien-thang-ha-dong-50m2-chi-hon-8-ty-pr43113122,"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội","8,3 tỷ",50 m²,4 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,"3,5 m","2,5 m"
https://batdongsan.com.vn/ban-nha-rieng-phuong-thach-ban-1/-trung-tam-lb-6-tang-45m-thang-may-o-to-vao-nhinh-7-ty-pr43097068,"Phường Thạch Bàn, Long Biên, Hà Nội",7 tỷ,45 m²,3 phòng,4 phòng,Bắc,,,,5 tầng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/ban-vuon-120-m2-x-4-tang-ha-dong-ha-gia-2x-ty-full-that-pr42968077,"Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",Thỏa thuận,120 m²,5 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,Full nội thất xịn.,4 tầng,6 m,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-lang-ha-phuong-lang-ha-prj-sky-city-towers-88-lang-ha/-ban-gap-2-ngu-tang-dep-chi-6-2-ty-dt-112m2-88-lh-pr39387404,"Sky City Towers-88 Láng Hạ, 88, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",Thỏa thuận,112 m²,2 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-dat-duong-23-2-xa-tien-phong-8/can-ban-lien-ke-minh-giang-dam-va-giai-doan-1-vi-tri-dep-nhat-nhi-pr39116436,"Đường 23, Xã Tiền Phong, Mê Linh, Hà Nội",Thỏa thuận,110 m²,,,Bắc,,Đang chờ sổ,,,7 m,12 m
